product_id,product_name,current_stock,units_sold_last_30_days,estimated_days_to_stockout,risk_level
126,Re-engineered leadingedge product,365,46,238.0,Low
127,Persevering next generation leverage,649,35,556.3,Low
128,Quality-focused secondary benchmark,330,50,198.0,Low
129,Advanced systematic structure,330,31,319.4,Low
130,Pre-emptive mission-critical archive,533,28,571.1,Low
131,Horizontal bi-directional secured line,335,44,228.4,Low
132,Up-sized demand-driven knowledge user,350,30,350.0,Low
133,Total background software,492,38,388.4,Low
134,Synergistic needs-based interface,277,34,244.4,Low
135,Polarized client-server contingency,358,43,249.8,Low
136,Multi-channeled 24hour artificial intelligence,162,32,151.9,Low
137,Fundamental full-range analyzer,723,35,619.7,Low
138,Cross-group next generation Graphic Interface,395,30,395.0,Low
139,Enterprise-wide 3rdgeneration product,618,42,441.4,Low
140,Multi-channeled demand-driven Graphic Interface,534,52,308.1,Low
141,Decentralized intangible Local Area Network,145,54,80.6,Low
142,Centralized 24/7 productivity,603,56,323.0,Low
143,Total attitude-oriented definition,604,42,431.4,Low
144,Customer-focused dedicated pricing structure,564,44,384.5,Low
145,Extended dynamic analyzer,484,26,558.5,Low
146,Vision-oriented hybrid analyzer,357,33,324.5,Low
147,Customizable bandwidth-monitored framework,583,42,416.4,Low
148,Assimilated asynchronous pricing structure,476,39,366.2,Low
149,Profit-focused static workforce,577,39,443.8,Low
150,Switchable systematic definition,414,29,428.3,Low
151,Fundamental even-keeled infrastructure,447,36,372.5,Low
152,Robust contextually-based utilization,554,33,503.6,Low
153,Down-sized responsive structure,371,34,327.4,Low
154,Inverse mobile website,709,42,506.4,Low
155,Re-engineered incremental product,305,39,234.6,Low
156,Triple-buffered incremental protocol,415,34,366.2,Low
157,Managed logistical hub,373,35,319.7,Low
158,Reverse-engineered user-facing database,522,50,313.2,Low
159,Organic intermediate productivity,431,32,404.1,Low
160,Pre-emptive 3rdgeneration model,430,31,416.1,Low
161,Distributed leadingedge alliance,535,43,373.3,Low
162,Reduced context-sensitive throughput,349,33,317.3,Low
163,Customizable asynchronous intranet,315,32,295.3,Low
164,Compatible maximized benchmark,125,31,121.0,Low
165,Decentralized 3rdgeneration product,622,36,518.3,Low
166,Function-based system-worthy projection,463,46,302.0,Low
167,Profit-focused multi-tasking infrastructure,918,40,688.5,Low
168,Focused modular task-force,575,40,431.2,Low
169,Advanced disintermediate functionalities,564,53,319.2,Low
170,Multi-lateral bi-directional infrastructure,388,47,247.7,Low
171,Cross-group clear-thinking access,285,31,275.8,Low
172,Programmable radical archive,420,64,196.9,Low
173,Streamlined bifurcated Internet solution,379,43,264.4,Low
174,Automated systemic architecture,421,48,263.1,Low
175,Exclusive user-facing protocol,349,33,317.3,Low
176,Customer-focused next generation open architecture,449,45,299.3,Low
177,Optional multimedia adapter,467,36,389.2,Low
178,Multi-channeled tangible paradigm,450,46,293.5,Low
179,Inverse holistic forecast,552,29,571.0,Low
180,Synchronized interactive moratorium,244,42,174.3,Low
181,Ameliorated leadingedge success,524,41,383.4,Low
182,Upgradable background algorithm,311,32,291.6,Low
183,Seamless 24/7 approach,477,30,477.0,Low
184,Ameliorated interactive flexibility,320,42,228.6,Low
185,Function-based national framework,326,41,238.5,Low
186,Assimilated heuristic knowledge user,703,37,570.0,Low
187,Integrated 5thgeneration capability,501,43,349.5,Low
188,Stand-alone hybrid framework,542,44,369.5,Low
189,Future-proofed web-enabled functionalities,574,31,555.5,Low
190,Configurable heuristic analyzer,491,36,409.2,Low
191,User-centric didactic moratorium,535,49,327.6,Low
192,Decentralized intangible groupware,172,38,135.8,Low
193,Multi-lateral non-volatile knowledge user,371,39,285.4,Low
194,Horizontal bifurcated methodology,382,51,224.7,Low
195,Multi-channeled motivating contingency,315,44,214.8,Low
196,Customer-focused leadingedge interface,449,34,396.2,Low
197,Optional mission-critical conglomeration,333,47,212.6,Low
198,Face-to-face static policy,422,39,324.6,Low
199,Up-sized encompassing firmware,232,26,267.7,Low
200,Proactive responsive installation,448,30,448.0,Low
